Title,Sale Price,Regular Price,Sale Percentage
The Legend of Heroes: Trails Through Daybreak - Ultimate Edition,$90.99,$129.99,30%
Resident Evil Village PS4 & PS5,$9.99,$39.99,75%
RESIDENT EVIL 2,$9.99,$39.99,75%
God of War III Remastered,$9.99,$19.99,50%
RESIDENT EVIL 3,$9.99,$39.99,75%
BioShock: The Collection,$9.99,$49.99,80%
FINAL FANTASY X/X-2 HD Remaster,$9.99,$24.99,60%
The Elder Scrolls V: Skyrim Anniversary Upgrade,$9.99,$19.99,50%
The Elder Scrolls V: Skyrim Special Edition - PS5 & PS4,$9.99,$39.99,75%
LEGO®  Harry Potter™ Collection,$9.99,$39.99,75%
STAR WARS Jedi: Fallen Order™,$9.99,$39.99,75%
Fallout 76,$9.99,$39.99,75%
Winters’ Expansion PS4 & PS5,$9.99,$19.99,50%
Alien: Isolation - THE COLLECTION,$9.99,$39.99,75%
Assassin's Creed III: Remastered,$9.99,$39.99,75%
The Order: 1886™,$9.99,$19.99,50%
Saints Row Gold Edition,$9.99,$39.99,75%
DRAGON BALL XENOVERSE 2 - FUTURE SAGA Chapter 1,$9.99,$19.99,50%
Back 4 Blood: Ultimate Edition PS4 & PS5,$9.99,$99.99,90%
Persona 4 Golden,$9.99,$19.99,50%
DmC Devil May Cry: Definitive Edition,$9.99,$39.99,75%
Nobody Wants to Die,$9.99,$24.99,60%
SONIC FORCES Digital Standard Edition,$9.99,$19.99,50%
Dead Rising 4: Frank's Big Package,$9.99,$39.99,75%
The Jackbox Party Pack,$9.99,$24.99,60%
Bloodstained: Ritual of the Night,$9.99,$39.99,75%
NARUTO TO BORUTO: SHINOBI STRIKER Deluxe Edition,$9.99,$39.99,75%
Bayonetta & Vanquish 10th Anniversary Bundle,$9.99,$39.99,75%
Yakuza: Like a Dragon PS4 & PS5,$9.99,$19.99,50%
NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst,$9.99,$19.99,50%
Unturned,$9.99,$24.99,60%
Persona 3 Portable,$9.99,$19.99,50%
NARUTO: Ultimate Ninja STORM,$9.99,$19.99,50%
VALKYRIE PROFILE: LENNETH,$9.99,$19.99,50%
Remnant: From the Ashes – Complete Edition,$9.99,$49.99,80%
Trivial Pursuit Live! 2,$9.99,$19.99,50%
Nioh,$9.99,$19.99,50%
NARUTO SHIPPUDEN: Ultimate Ninja STORM 2,$9.99,$19.99,50%
Hunting Simulator 2 Elite Edition,$9.99,$49.99,80%
Fairy Fencer F: Refrain Chord,$9.99,$49.99,80%
The Surge 2 - Premium Edition,$9.99,$39.99,75%
Airplane Flight Simulator : Combat Zone,$9.99,$19.99,50%
Tom Clancy’s Rainbow Six® Extraction PS4 & PS5,$9.99,$39.99,75%
Ghostrunner 2,$9.99,$39.99,75%
Drums Rock,$9.99,$19.99,50%
Puyo Puyo™ Tetris® 2 PS4 & PS5,$9.99,$39.99,75%
The Crew Motorfest | Year 1 Pass,$9.89,$29.99,67%
Devil May Cry HD Collection,$9.89,$29.99,67%
