Title,Sale Price,Regular Price,Sale Percentage
Resident Evil Village PS4 & PS5,$9.99,$39.99,75%
Destiny 2: Year of Prophecy,$59.99,$79.99,25%
Batman: Arkham Collection,$5.99,$59.99,90%
THE FOREST,$5.99,$19.99,70%
Rise of the Ronin™,$39.89,$69.99,43%
Metaphor: ReFantazio PS4 & PS5,$38.49,$69.99,45%
Star Wars Outlaws,$31.49,$69.99,55%
Red Dead Redemption,$29.99,$49.99,40%
Resident Evil 4 Gold Edition PS4 & PS5,$29.99,$49.99,40%
Sea of Thieves: 2025 Premium Edition,$29.99,$59.99,50%
Ratchet & Clank: Rift Apart,$29.39,$69.99,58%
Grand Theft Auto: The Trilogy – The Definitive Edition (PS5 & PS4),$23.99,$59.99,60%
Medieval Dynasty,$20.99,$34.99,40%
Grand Theft Auto V (PlayStation®5),$19.99,$39.99,50%
Sea of Thieves,$19.99,$39.99,50%
KINGDOM HEARTS HD 1.5 +2.5 ReMIX,$19.99,$49.99,60%
Call of Duty®: Modern Warfare®,$19.79,$59.99,67%
Dying Light 2 Stay Human PS4&PS5,$19.79,$59.99,67%
Call of Duty®: Black Ops 4,$19.79,$59.99,67%
Need for Speed™ Unbound Ultimate Collection,$18.69,$84.99,78%
Ready or Not: Mission Pass Alpha,$15.99,$19.99,20%
Destiny 2: Legacy Collection (2025),$13.99,$69.99,80%
Mafia: Trilogy,$11.99,$59.99,80%
The Outlast Trials,$11.99,$39.99,70%
